GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GAME_DATE,OFF_RATING,DEF_RATING,NET_RATING,OPP_TEAM_ID,OPP_TEAM_NAME,OPP_TEAM_ABBREVIATION,OPP_TEAM_CITY,OPP_OFF_RATING,OPP_DEF_RATING,OPP_NET_RATING,PTS_DIFF
0021600026,1610612755,76ers,PHI,Philadelphia,240:00,0.381,0.188,0.195,0.089,0.524,0.271,0.119,0.146,2016-10-29,70.2,102.8,-32.7,1610612737,Hawks,ATL,Atlanta,102.8,70.2,32.7,-32.0
0021600027,1610612766,Hornets,CHA,Charlotte,240:00,0.462,0.418,0.093,0.136,0.574,0.21,0.133,0.111,2016-10-29,101.5,106.7,-5.2,1610612738,Celtics,BOS,Boston,106.7,101.5,5.2,-6.0
0021600028,1610612752,Knicks,NYK,New York,240:00,0.566,0.513,0.13,0.171,0.483,0.302,0.122,0.239,2016-10-29,110.8,105.6,5.2,1610612763,Grizzlies,MEM,Memphis,105.6,110.8,-5.2,7.0
0021600029,1610612753,Magic,ORL,Orlando,240:00,0.5,0.31,0.203,0.325,0.472,0.341,0.093,0.26,2016-10-29,95.7,108.0,-12.3,1610612739,Cavaliers,CLE,Cleveland,108.0,95.7,12.3,-6.0
0021600030,1610612754,Pacers,IND,Indiana,240:00,0.528,0.102,0.134,0.19,0.576,0.244,0.127,0.342,2016-10-29,104.2,125.2,-21.0,1610612741,Bulls,CHI,Chicago,125.2,104.2,21.0,-17.0
0021600031,1610612749,Bucks,MIL,Milwaukee,240:00,0.511,0.273,0.134,0.19,0.506,0.333,0.174,0.234,2016-10-29,105.2,104.5,0.7,1610612751,Nets,BKN,Brooklyn,104.5,105.2,-0.7,2.0
0021600032,1610612759,Spurs,SAS,San Antonio,240:00,0.482,0.277,0.103,0.136,0.395,0.174,0.105,0.137,2016-10-29,100.9,82.6,18.3,1610612740,Pelicans,NOP,New Orleans,82.6,100.9,-18.3,19.0
0021600033,1610612757,Trail Blazers,POR,Portland,265:00,0.51,0.214,0.135,0.1,0.41,0.39,0.144,0.286,2016-10-29,97.3,95.6,1.6,1610612743,Nuggets,DEN,Denver,95.6,97.3,-1.6,2.0
0021600034,1610612758,Kings,SAC,Sacramento,240:00,0.512,0.294,0.133,0.275,0.579,0.443,0.154,0.259,2016-10-29,108.2,113.6,-5.5,1610612750,Timberwolves,MIN,Minnesota,113.6,108.2,5.5,3.0
0021600035,1610612762,Jazz,UTA,Utah,240:00,0.445,0.178,0.201,0.167,0.446,0.241,0.143,0.28,2016-10-30,83.6,96.9,-13.3,1610612746,Clippers,LAC,LA,96.9,83.6,13.3,-13.0
0021600036,1610612756,Suns,PHX,Phoenix,240:00,0.456,0.278,0.118,0.234,0.47,0.398,0.15,0.152,2016-10-30,98.0,99.5,-1.5,1610612744,Warriors,GSW,Golden State,99.5,98.0,1.5,-6.0
0021600037,1610612759,Spurs,SAS,San Antonio,240:00,0.512,0.317,0.159,0.318,0.506,0.325,0.123,0.167,2016-10-30,112.2,101.6,10.6,1610612748,Heat,MIA,Miami,101.6,112.2,-10.6,7.0
0021600038,1610612749,Bucks,MIL,Milwaukee,240:00,0.414,0.161,0.126,0.192,0.472,0.227,0.165,0.348,2016-10-30,87.2,101.2,-14.0,1610612765,Pistons,DET,Detroit,101.2,87.2,14.0,-15.0
0021600039,1610612764,Wizards,WAS,Washington,265:00,0.471,0.291,0.136,0.182,0.528,0.295,0.137,0.256,2016-10-30,100.0,109.3,-9.3,1610612763,Grizzlies,MEM,Memphis,109.3,100.0,9.3,-9.0
0021600040,1610612760,Thunder,OKC,Oklahoma City,240:00,0.521,0.179,0.178,0.25,0.443,0.276,0.203,0.239,2016-10-30,100.5,88.4,12.0,1610612747,Lakers,LAL,Los Angeles,88.4,100.5,-12.0,17.0
0021600041,1610612745,Rockets,HOU,Houston,240:00,0.488,0.259,0.173,0.231,0.436,0.233,0.137,0.255,2016-10-30,94.7,97.0,-2.4,1610612742,Mavericks,DAL,Dallas,97.0,94.7,2.4,1.0
0021600042,1610612761,Raptors,TOR,Toronto,240:00,0.489,0.284,0.083,0.239,0.463,0.432,0.086,0.256,2016-10-31,109.4,109.2,0.2,1610612743,Nuggets,DEN,Denver,109.2,109.4,-0.2,3.0
0021600043,1610612741,Bulls,CHI,Chicago,240:00,0.567,0.202,0.192,0.31,0.37,0.219,0.144,0.262,2016-10-31,113.5,84.4,29.1,1610612751,Nets,BKN,Brooklyn,84.4,113.5,-29.1,30.0
0021600044,1610612758,Kings,SAC,Sacramento,240:00,0.547,0.253,0.197,0.188,0.487,0.595,0.136,0.347,2016-10-31,98.6,110.8,-12.2,1610612737,Hawks,ATL,Atlanta,110.8,98.6,12.2,-11.0
0021600045,1610612756,Suns,PHX,Phoenix,240:00,0.446,0.369,0.193,0.204,0.538,0.475,0.149,0.128,2016-10-31,90.2,107.7,-17.5,1610612746,Clippers,LAC,LA,107.7,90.2,17.5,-18.0
0021600046,1610612755,76ers,PHI,Philadelphia,240:00,0.549,0.198,0.165,0.206,0.484,0.183,0.102,0.255,2016-11-01,104.1,104.6,-0.5,1610612753,Magic,ORL,Orlando,104.6,104.1,0.5,-2.0
0021600047,1610612745,Rockets,HOU,Houston,240:00,0.572,0.278,0.072,0.244,0.614,0.373,0.115,0.364,2016-11-01,123.7,133.8,-10.1,1610612739,Cavaliers,CLE,Cleveland,133.8,123.7,10.1,-8.0
0021600048,1610612747,Lakers,LAL,Los Angeles,240:00,0.483,0.281,0.183,0.256,0.529,0.333,0.161,0.25,2016-11-01,99.1,108.7,-9.7,1610612754,Pacers,IND,Indiana,108.7,99.1,9.7,-7.0
0021600049,1610612758,Kings,SAC,Sacramento,265:00,0.41,0.303,0.14,0.188,0.506,0.337,0.155,0.12,2016-11-01,89.8,98.4,-8.6,1610612748,Heat,MIA,Miami,98.4,89.8,8.6,-12.0
0021600050,1610612752,Knicks,NYK,New York,240:00,0.448,0.174,0.124,0.174,0.506,0.236,0.111,0.222,2016-11-01,92.1,102.8,-10.6,1610612765,Pistons,DET,Detroit,102.8,92.1,10.6,-13.0
0021600051,1610612740,Pelicans,NOP,New Orleans,240:00,0.494,0.5,0.125,0.191,0.538,0.231,0.152,0.25,2016-11-01,108.6,111.2,-2.6,1610612749,Bucks,MIL,Milwaukee,111.2,108.6,2.6,-4.0
0021600052,1610612750,Timberwolves,MIN,Minnesota,240:00,0.628,0.295,0.212,0.294,0.387,0.387,0.208,0.167,2016-11-01,117.0,79.4,37.6,1610612763,Grizzlies,MEM,Memphis,79.4,117.0,-37.6,36.0
0021600053,1610612762,Jazz,UTA,Utah,240:00,0.599,0.237,0.118,0.063,0.474,0.276,0.11,0.098,2016-11-01,114.1,99.7,14.3,1610612759,Spurs,SAS,San Antonio,99.7,114.1,-14.3,15.0
0021600054,1610612757,Trail Blazers,POR,Portland,240:00,0.512,0.244,0.168,0.136,0.618,0.258,0.148,0.212,2016-11-01,97.0,117.5,-20.5,1610612744,Warriors,GSW,Golden State,117.5,97.0,20.5,-23.0
0021600055,1610612764,Wizards,WAS,Washington,240:00,0.604,0.333,0.215,0.182,0.623,0.325,0.134,0.118,2016-11-02,105.6,116.5,-10.9,1610612761,Raptors,TOR,Toronto,116.5,105.6,10.9,-10.0
0021600056,1610612755,76ers,PHI,Philadelphia,240:00,0.465,0.174,0.183,0.186,0.576,0.329,0.156,0.237,2016-11-02,89.8,113.0,-23.3,1610612766,Hornets,CHA,Charlotte,113.0,89.8,23.3,-16.0
0021600057,1610612765,Pistons,DET,Detroit,240:00,0.472,0.239,0.13,0.2,0.625,0.224,0.195,0.152,2016-11-02,100.8,111.8,-11.1,1610612751,Nets,BKN,Brooklyn,111.8,100.8,11.1,-8.0
0021600058,1610612752,Knicks,NYK,New York,240:00,0.482,0.294,0.152,0.167,0.556,0.303,0.196,0.413,2016-11-02,94.3,115.8,-21.5,1610612745,Rockets,HOU,Houston,115.8,94.3,21.5,-19.0
0021600059,1610612747,Lakers,LAL,Los Angeles,240:00,0.583,0.222,0.146,0.289,0.547,0.341,0.17,0.244,2016-11-02,119.6,109.7,10.0,1610612737,Hawks,ATL,Atlanta,109.7,119.6,-10.0,7.0
0021600060,1610612740,Pelicans,NOP,New Orleans,265:00,0.438,0.198,0.209,0.114,0.394,0.213,0.182,0.255,2016-11-02,79.0,81.1,-2.0,1610612763,Grizzlies,MEM,Memphis,81.1,79.0,2.0,-6.0
