GameID,HomeTeam,AwayTeam,Drive,half,qtr,down,posteam,yrdline100,yrdregion,ydstogo,PlayType,1stdownconversion
2009091308,TB,DAL,19,2,4,3.0,TB,39.0,Beyond20,4,Pass,1
2009091308,TB,DAL,19,2,4,3.0,TB,26.0,Beyond20,7,Pass,0
2009091308,TB,DAL,21,2,4,3.0,TB,69.0,Beyond20,7,Pass,1
2009091308,TB,DAL,21,2,4,3.0,TB,9.0,Inside10,9,Run,0
2009091305,HOU,NYJ,1,1,1,3.0,HOU,71.0,Beyond20,1,Run,1
2009091305,HOU,NYJ,3,1,1,3.0,HOU,64.0,Beyond20,7,Pass,0
2009091305,HOU,NYJ,4,1,1,3.0,NYJ,36.0,Beyond20,7,Pass,1
2009091305,HOU,NYJ,4,1,1,3.0,NYJ,6.0,Inside10,5,Pass,0
2009091305,HOU,NYJ,6,1,2,3.0,NYJ,73.0,Beyond20,3,Pass,0
2009091305,HOU,NYJ,8,1,2,3.0,NYJ,62.0,Beyond20,9,Pass,1
2009091305,HOU,NYJ,8,1,2,3.0,NYJ,40.0,Beyond20,8,Pass,1
2009091305,HOU,NYJ,10,1,2,3.0,NYJ,48.0,Beyond20,7,Pass,0
2009091305,HOU,NYJ,11,2,3,3.0,NYJ,82.0,Beyond20,5,Pass,1
2009091305,HOU,NYJ,11,2,3,3.0,NYJ,64.0,Beyond20,2,Pass,1
2009091305,HOU,NYJ,13,2,3,3.0,NYJ,60.0,Beyond20,7,Pass,0
2009091305,HOU,NYJ,14,2,3,3.0,HOU,58.0,Beyond20,9,Pass,0
2009091305,HOU,NYJ,15,2,3,3.0,NYJ,47.0,Beyond20,8,Pass,0
2009091305,HOU,NYJ,18,2,4,3.0,NYJ,73.0,Beyond20,3,Pass,1
2009091305,HOU,NYJ,19,2,4,3.0,HOU,55.0,Beyond20,3,Run,1
2009091305,HOU,NYJ,20,2,4,3.0,NYJ,45.0,Beyond20,7,Run,1
2009091305,HOU,NYJ,20,2,4,3.0,NYJ,33.0,Beyond20,5,Run,0
2009091306,IND,JAC,1,1,1,3.0,IND,17.0,10to20,1,Run,1
2009091306,IND,JAC,2,1,1,3.0,JAC,73.0,Beyond20,3,Pass,1
2009091306,IND,JAC,2,1,1,3.0,JAC,51.0,Beyond20,1,Run,1
2009091306,IND,JAC,2,1,1,3.0,JAC,46.0,Beyond20,8,Pass,0
2009091306,IND,JAC,3,1,1,3.0,IND,80.0,Beyond20,2,Pass,1
2009091306,IND,JAC,3,1,1,3.0,IND,69.0,Beyond20,5,Pass,1
2009091306,IND,JAC,4,1,2,3.0,JAC,56.0,Beyond20,1,Run,1
2009091306,IND,JAC,4,1,2,3.0,JAC,6.0,Inside10,6,Pass,0
2009091306,IND,JAC,5,1,2,3.0,IND,38.0,Beyond20,6,Pass,1
2009091306,IND,JAC,5,1,2,3.0,IND,9.0,Inside10,2,Run,1
2009091306,IND,JAC,6,1,2,3.0,JAC,34.0,Beyond20,1,Run,1
2009091306,IND,JAC,6,1,2,3.0,JAC,30.0,Beyond20,8,Pass,0
2009091306,IND,JAC,7,1,2,3.0,IND,56.0,Beyond20,3,Run,0
2009091306,IND,JAC,9,2,3,3.0,JAC,45.0,Beyond20,6,Pass,0
2009091306,IND,JAC,10,2,3,3.0,IND,70.0,Beyond20,9,Pass,1
2009091306,IND,JAC,10,2,3,3.0,IND,41.0,Beyond20,3,Pass,1
2009091306,IND,JAC,11,2,3,3.0,JAC,75.0,Beyond20,5,Pass,0
2009091306,IND,JAC,12,2,3,3.0,IND,59.0,Beyond20,6,Pass,0
2009091306,IND,JAC,15,2,3,3.0,JAC,50.0,Beyond20,2,Run,1
2009091306,IND,JAC,15,2,4,3.0,JAC,37.0,Beyond20,1,Run,1
2009091306,IND,JAC,15,2,4,3.0,JAC,7.0,Inside10,2,Run,0
2009091306,IND,JAC,16,2,4,3.0,IND,50.0,Beyond20,8,Pass,0
2009091306,IND,JAC,17,2,4,3.0,JAC,97.0,Beyond20,8,Run,0
2009091306,IND,JAC,18,2,4,3.0,IND,35.0,Beyond20,1,Run,0
2009091306,IND,JAC,19,2,4,3.0,JAC,63.0,Beyond20,8,Pass,0
2009091303,CIN,DEN,1,1,1,3.0,DEN,57.0,Beyond20,9,Pass,0
2009091303,CIN,DEN,2,1,1,3.0,CIN,87.0,Beyond20,9,Pass,1
2009091303,CIN,DEN,3,1,1,3.0,DEN,79.0,Beyond20,5,Pass,0
2009091303,CIN,DEN,4,1,1,3.0,CIN,42.0,Beyond20,2,Pass,0
2009091303,CIN,DEN,4,1,1,3.0,CIN,11.0,10to20,3,Run,0
2009091303,CIN,DEN,5,1,1,3.0,DEN,52.0,Beyond20,6,Sack,0
2009091303,CIN,DEN,7,1,2,3.0,DEN,83.0,Beyond20,9,Pass,0
2009091303,CIN,DEN,8,1,2,3.0,CIN,60.0,Beyond20,3,Pass,1
2009091303,CIN,DEN,8,1,2,3.0,CIN,42.0,Beyond20,8,Pass,1
2009091303,CIN,DEN,8,1,2,3.0,CIN,27.0,Beyond20,6,Pass,1
2009091303,CIN,DEN,9,1,2,3.0,DEN,72.0,Beyond20,2,Pass,0
2009091303,CIN,DEN,10,1,2,3.0,CIN,59.0,Beyond20,1,Run,1
2009091303,CIN,DEN,10,1,2,3.0,CIN,49.0,Beyond20,4,Pass,0
2009091303,CIN,DEN,11,1,2,3.0,DEN,63.0,Beyond20,3,Pass,1
2009091303,CIN,DEN,12,2,3,3.0,CIN,74.0,Beyond20,4,Pass,1
2009091303,CIN,DEN,12,2,3,3.0,CIN,63.0,Beyond20,7,Pass,0
2009091303,CIN,DEN,15,2,3,3.0,DEN,56.0,Beyond20,2,Pass,0
2009091303,CIN,DEN,17,2,3,3.0,DEN,32.0,Beyond20,5,Pass,0
2009091303,CIN,DEN,18,2,4,3.0,CIN,77.0,Beyond20,2,Pass,0
2009091303,CIN,DEN,19,2,4,3.0,DEN,59.0,Beyond20,4,Pass,1
2009091303,CIN,DEN,19,2,4,3.0,DEN,49.0,Beyond20,9,Pass,1
2009091302,CAR,PHI,1,1,1,3.0,CAR,18.0,10to20,1,Pass,1
2009091302,CAR,PHI,1,1,1,3.0,CAR,2.0,Inside10,1,Run,0
2009091302,CAR,PHI,2,1,1,3.0,PHI,73.0,Beyond20,9,Pass,1
2009091302,CAR,PHI,2,1,1,3.0,PHI,47.0,Beyond20,2,Pass,0
2009091302,CAR,PHI,6,1,2,3.0,CAR,71.0,Beyond20,1,Pass,1
2009091302,CAR,PHI,7,1,2,3.0,CAR,67.0,Beyond20,7,Pass,1
2009091302,CAR,PHI,9,1,2,3.0,CAR,60.0,Beyond20,5,Sack,0
