GAME_ID,TEAM_NAME,OPP_TEAM_NAME,log_rtg_rat,eFG,Tov,Reb,Ftr
21600500,76ers,Nuggets,0.030467568653767287,-0.008576459317447082,0.011186305856679436,0.24503455966098178,-0.11403384582186493
21600501,Warriors,Mavericks,0.07666588174791694,1.1247920075088222,0.5911507388621521,-1.0107675586015512,0.2553504214593584
21600502,Kings,Grizzlies,-0.13803664720934208,-1.0438649626683665,1.3911016809386647,-0.2283062387610498,2.4074152830108355
21600503,Bucks,Bulls,0.1942691302150727,1.8222495255557587,0.23117281492772077,-0.3828664994702842,0.25535042145935816
21600504,Knicks,Rockets,-0.0763597182076061,-0.8259094882787001,-1.1487425601542645,0.3609547551929083,-0.507508391404038
21600505,Cavaliers,Hornets,0.07333127308554951,0.18758346763325245,-1.5887155782963471,-0.576066825356828,0.10277865888667911
21600506,Jazz,Suns,0.0842932453895033,0.8741432119607064,0.9311298892446699,-0.305586369115667,1.3875935016039784
21600507,Thunder,Clippers,0.25724494026591765,0.7760632484853542,-1.7087082196078236,0.35129473889858087,1.4678944292738096
21600508,Spurs,Hawks,0.0036730987118612844,-0.1720430651096965,0.05118385296050513,-0.23796625505537672,-0.2826657939285106
21600509,Heat,Pistons,-0.03855672699881917,0.04591240927996979,-0.08880756190288454,-1.7062887317931077,-0.06585328921996661
21600510,Magic,Pacers,-0.1404856084135938,-0.7278295248033498,-0.24879775031818704,0.022854184891457043,-1.2221866476655359
21600511,Trail Blazers,Timberwolves,0.10235600663752756,0.9940187228750236,-0.5087818064930537,-1.5517284710838732,1.532135171409675
21600512,Raptors,Lakers,0.05090794617786252,1.5607029562881576,1.551091869353968,-1.5807085199668545,0.8335171006821435
21600513,Thunder,Bucks,0.01532597047822699,-0.06306532791486397,-0.08880756190288426,0.14843439671771044,-0.37099681436532506
21600514,Pelicans,Cavaliers,-0.04980763076560276,0.16578792019428631,0.09118140006433109,-0.8079072164206802,-0.9331033080541437
21600515,Jazz,Nets,0.08790129428605781,-0.052167554195380585,-1.3487302956733929,0.5251750321964702,-0.5315986697049874
21600516,Magic,Knicks,0.11441035117774431,0.6452899638515555,-1.4287253898810437,-0.8175672327150076,-0.973253771889059
21600517,Bulls,Hornets,0.08004270767353636,-0.45538518181626425,-0.748767089116008,1.568456791983806,0.5685240393717002
21600518,Wizards,Rockets,-0.09428820730863177,-0.313714123462981,0.4111617768949367,0.09047429895174734,-0.7403810816465486
21600519,Suns,Clippers,-0.11588189439935913,-1.2400248896190673,-1.3687290692253054,0.28367462483829053,-1.9689852749949661
21600520,Warriors,Nuggets,0.0901042018440291,0.6997788324489712,-0.30879407097392586,-0.7016470371830814,0.45610274063393635
21600521,76ers,Timberwolves,0.01954459607297013,-0.17204306510969772,-0.4087879387334895,0.3319747063099265,0.5123133900028183
21600522,Jazz,Celtics,-0.12978798175320677,-1.5124692326061517,-0.7287683155640952,0.843955569909267,0.3195911635952234
21600523,Pacers,Pistons,0.08507312357927889,1.048507591472439,0.2911691355834593,-1.7545888132647436,2.36726481917592
21600524,Wizards,Mavericks,-0.08921915416507682,-0.8477050357176658,-1.0287499188427882,0.46721493443050716,-1.1418857199957049
21600525,Raptors,Spurs,-0.28343578157032984,-2.580451057115522,-0.18880142966244878,0.9502157491468661,0.6970055236434303
21600526,Kings,Nuggets,0.04813085971172738,-0.2701230285850481,-1.2487364279138289,0.2063944944836733,0.48019301893488575
21600527,Suns,Heat,0.14203303787984323,1.059405365191923,1.2111127189714495,0.16775442930636483,0.9941189560218058
21600528,Grizzlies,Lakers,-0.15045988211699024,-1.7522202544347854,-0.048810014799058554,-0.8368872653036618,1.026239327089738
21600529,Thunder,Hornets,-0.1279471091173474,-0.37910076577988183,0.4911568711025878,0.7666754395546496,-2.884415850431042
21600530,Magic,Hawks,-0.16183086214588718,-1.3272070793749342,0.6911446066217154,1.162736107622064,-0.7403810816465488
21600531,Knicks,Bucks,-0.005597029536717908,-0.17204306510969772,0.011186305856679714,1.0661359446787921,-2.0492862026647978
21600532,Cavaliers,Bulls,-0.11953128784991292,-1.0983538312657832,0.431160550446849,0.33197470630992704,1.0182092343227547
21600533,Grizzlies,Clippers,-0.06317890162153156,-0.8041139408397322,-0.7887646362198337,0.33197470630992676,-2.555182046984734
21600534,Trail Blazers,Warriors,-0.0716803883745279,-0.6842384299254151,0.33116668268728533,0.5927951462567606,-0.03373291815203364
21600535,Kings,Heat,-0.06538275926285174,-0.052167554195380585,-0.4687842593892281,-1.3102280637256936,-1.374758410238215
21600536,Pacers,Nets,0.10849791788070383,0.2202767887917026,-1.3887278427772185,-0.237966255055377,0.5926143176726494
21600537,Jazz,Raptors,-0.11586180547848951,0.8087565696438055,3.330982715474209,-0.5277667438851925,-0.0497931036859999
21600538,Pistons,Hornets,0.017905581331139373,-0.08486087535383131,0.39116300334302356,1.0468159120901381,-0.242515330093595
21600539,Pelicans,Hawks,-0.0382871389170671,-0.28102080230453147,0.03118507940859256,0.08081428265742015,-0.19433477349169623
21600540,Thunder,Rockets,0.02680227437925479,-0.5207718241331645,-0.12880510900671024,1.1917161565050454,-0.30675607222946
21600541,Suns,Mavericks,0.047428693571110826,-0.2701230285850481,1.0111249834523215,2.47649832365056,0.4641328334009197
21600542,Trail Blazers,Lakers,0.10256331103676507,1.3972363504959064,0.45115932399876185,0.013194168597130126,-0.00161254708410157
21600543,Spurs,Nuggets,0.21831028912619044,1.5171118614102241,-1.108745013050439,-0.42150656464759295,0.038537916750813854
21600544,Wizards,Timberwolves,0.09182317144601028,1.5389074088491896,0.7111433801736291,-1.3971682103746381,-0.5235685769380044
21600545,Magic,Rockets,-0.04579465518963354,-0.8586028094371497,-0.12880510900671024,0.7087153417886861,0.13489902995461162
21600546,76ers,Celtics,-0.012363448019333319,0.15489014647480354,-0.5087818064930537,-1.2812480148427121,0.4480726478669533
21600547,Cavaliers,Nets,0.020844427148629722,-0.18294083882918108,-1.4087266163291312,-0.9238274119526065,2.359234726408937
21600548,Knicks,Bucks,0.03774032798284711,-0.052167554195380585,0.17117649427198248,0.9502157491468661,-0.1622144024237637
21600549,Heat,Lakers,-0.23052365861183238,-1.0329671889488836,-0.5687781271487926,-1.7449287969704164,0.038537916750814076
21600550,Grizzlies,Warriors,0.07082605256861242,0.0786057304384187,-0.7487670891160078,0.9115756839695576,-2.18579777970351
