team,season,win_pct,rtg_rat,log_rtg_rat,eFG,Tov,Reb,Ftr
DAL,1980,0.18292682926829268,0.924187725631769,-0.078840061707776,-1.8486784810504426,0.09381042664400635,-1.403891059688571,0.6915052984018097
OKC,1980,0.4146341463414634,0.984732824427481,-0.015384918839479343,0.06835262733045087,1.3907977087470946,-0.24481049542080885,0.6294050479450561
MIL,1980,0.7317073170731707,1.067779960707269,0.06558169001074135,1.4432392436638941,-0.6458818223016447,0.634157786717298,-1.093961342310505
UTA,1980,0.34146341463414637,0.9451553930530164,-0.0564059279135521,-0.02995438566816678,1.216978702858258,-1.6099902329010898,-0.9536961513824704
NJN,1980,0.2926829268292683,0.9465791940018744,-0.05490064146644824,-1.0708585512706021,0.13057935034842624,-0.1382320788767431,-1.0481020851880767
HOU,1980,0.4878048780487805,1.0028116213683225,0.0028076761541985617,-0.2829893534455125,0.08295536004983466,0.18448623881897935,0.5571573884908227
LAL,1980,0.6585365853658537,1.0356111645813282,0.034991749622502316,1.6784759707651156,0.8880979695892156,-0.5683983832328979,0.035067715603781385
DET,1980,0.25609756097560976,0.9405560882070949,-0.061283995435409376,-1.7640489716284145,-0.4610166517599536,-0.2124449869019747,-0.005522453704606386
IND,1980,0.5365853658536586,1.0133333333333334,0.013245226750020723,-0.2969108614547636,-1.3575626763516426,0.018300940024230484,0.06116789848737592
SAC,1980,0.4878048780487805,1.0,0.0,0.7225412015860586,-0.3485844692109242,-0.8130648029831918,-1.2628838317650801
SAS,1980,0.6341463414634146,1.0264900662251655,0.026145280104322207,0.6075761989954432,0.8780599763007596,1.8169119793384365,1.385083599852582
CHI,1980,0.5487804878048781,1.0189035916824196,0.01872713905069773,0.39065030881123636,1.2469204412987456,1.7558449733557495,1.580216390005113
NYK,1980,0.6097560975609756,1.0153256704980842,0.015209418663528708,-0.6467374497523228,-1.6026636430882581,-0.8465847795526082,0.7175538336420509
BOS,1980,0.7560975609756098,1.0565302144249513,0.054990156268876725,1.6530048207766208,0.8335654842280789,0.5783081203471572,0.3062016266278409
PHI,1980,0.7560975609756098,1.0753768844221105,0.07267119029735908,2.2684241180598548,0.7172535629742096,-0.20598030429854092,0.328235356425484
GSW,1980,0.47560975609756095,0.9890610756608933,-0.01099919430067037,-0.5136861623728577,0.8801982413450318,2.1124864776208647,0.011438087092544449
LAC,1980,0.43902439024390244,0.9851301115241636,-0.014981553615616833,-0.7669874388308431,-1.2205258339801894,-0.2439100586442221,-0.97654685404275
CLE,1980,0.34146341463414637,0.9560036663611367,-0.04499353083229829,-1.281805747798752,-0.7355168653067305,-0.17997559250889777,-1.5604634572664162
WAS,1980,0.47560975609756095,1.0,0.0,0.15593474933176796,0.08838555375857694,-0.5773897982410676,-0.34983001459872926
POR,1980,0.5487804878048781,1.0075685903500473,0.00754009227328786,0.30118678491764544,-0.4651805731570106,-0.12501382180749052,-1.0309181264703087
DEN,1980,0.45121951219512196,0.9963570127504554,-0.0036496390875493927,-1.1819545682380548,-0.8198954282687742,-0.4885030853937798,1.9059225794751644
ATL,1980,0.3780487804878049,0.9720410065237651,-0.028357287629926044,-0.6550485581657454,-0.4691527449816916,-0.3404067804138825,-0.04411236753431534
PHO,1980,0.6951219512195121,1.0523138832997987,0.05099143796829408,0.7655795185360251,-0.2705692386985023,1.0955016649455085,0.08977075168742252
DET,1981,0.47560975609756095,0.9924953095684803,-0.007532992307545148,-0.9938428996109836,-0.273572648396011,0.5694844441785275,1.0828486868822609
DAL,1981,0.34146341463414637,0.9592391304347826,-0.04161488123563418,-1.3695171232482863,-0.5813721234809913,0.2464796060747484,-0.6931184950429002
LAC,1981,0.2073170731707317,0.9367311072056239,-0.06535900996048637,-0.8049916607516157,1.6610891898576368,0.40470043609788864,-1.160317265242594
NJN,1981,0.5365853658536586,1.0068426197458455,0.006819315272054967,0.0025067139683912446,-1.1999532260065058,0.2517546796941198,-1.219222513921973
UTA,1981,0.3048780487804878,0.9507609668755596,-0.050492597267316544,-0.6389028462461744,0.30788137532474846,-1.3287791068354626,-0.38340921111277027
ATL,1981,0.5121951219512195,1.0047801147227533,0.004768726252082873,0.10027336541593035,-0.7059246647497109,-0.05419531634485873,-0.31533071504226257
BOS,1981,0.7682926829268293,1.0608695652173912,0.05908891637000637,1.0896170925311097,0.09177683785185829,1.129598994369198,0.7707340106219239
HOU,1981,0.5609756097560976,1.0,0.0,-0.7793119774365389,-0.42923258136692904,1.3193775380067647,0.3095946026794803
LAL,1981,0.6951219512195121,1.0445497630331755,0.043585943802693046,0.9115473932822936,-0.06522972487042078,0.6936749567043243,0.4990904504961343
DEN,1981,0.5609756097560976,1.0035118525021949,0.003505700347628487,-0.20115618365451254,0.16641608711345876,-1.2758299580549506,2.7245779421671066
PHI,1981,0.7073170731707317,1.0548604427333974,0.05340847640873336,1.53591824553532,-0.7458509136117232,-1.4795227017258417,0.09459769103794928
NYK,1981,0.4024390243902439,0.9760589318600369,-0.024232313387767858,-0.4994452629553494,0.06763047080095078,-0.012369790747395009,-0.9009301213739491
CHI,1981,0.4146341463414634,0.9815837937384899,-0.01858789576809085,0.20091369143094873,2.9603280394577722,0.8622788855914366,2.3240585247453276
SAS,1981,0.5853658536585366,1.021375464684015,0.02115021368189173,0.1115173998626897,-0.5296482497423165,0.9233758539759395,-0.5113891473509804
PHO,1981,0.5609756097560976,1.033203125,0.032663806818791594,0.9338772335456887,0.9595252255123211,0.2301369839732883,-0.09584450688548189
